action_code,actor,actor_role,camera_movement,changed,clip_end_frame,clip_start_frame,criterion,description,end_direction,end_frame,example_id,mind_change,rank,retraction_direction_code,start_direction,start_frame,target_context_1,target_context_2,target_structure,tool_type,triplet,video_id
dissect,right,,,,1350,900,C1,"The hook dissects around the hepatocystic triangle, between presumed cystic duct and presumed cystic artery.",,1350,271401a1-821f-46ce-9895-41d4da92c568__C1__avg__c_000900_001350,unsatisfied->satisfied,1,,,1170,between presumed cystic duct and presumed cystic artery,,hepatocystic triangle,hook,"[""hook"", ""dissect"", ""hepatocystic triangle""]",271401a1-821f-46ce-9895-41d4da92c568
The camera repositions,camera,,The camera repositions,,1350,900,C1,The camera repositions.,,1230,271401a1-821f-46ce-9895-41d4da92c568__C1__avg__c_000900_001350,unsatisfied->satisfied,3,,,1110,,,,,,271401a1-821f-46ce-9895-41d4da92c568
,left,,,not changed,1950,1650,C1,The grasper keeps the gallbladder neck retracted lateral.,lateral,1950,271401a1-821f-46ce-9895-41d4da92c568__C1__avg__c_001650_001950,unsatisfied->satisfied,4,keep retracted lateral,lateral,1650,,,,,,271401a1-821f-46ce-9895-41d4da92c568
dissect,right,,,,1950,1650,C1,"The hook dissects around the hepatocystic triangle, between presumed cystic duct and presumed cystic artery.",,1800,271401a1-821f-46ce-9895-41d4da92c568__C1__avg__c_001650_001950,unsatisfied->satisfied,1,,,1650,between presumed cystic duct and presumed cystic artery,,hepatocystic triangle,hook,"[""hook"", ""dissect"", ""hepatocystic triangle""]",271401a1-821f-46ce-9895-41d4da92c568
tool withdraw unblocks view,right,,,,1950,1650,C1,The hook tool withdraw unblocks view the hepatocystic triangle.,,1950,271401a1-821f-46ce-9895-41d4da92c568__C1__avg__c_001650_001950,unsatisfied->satisfied,3,,,1650,,,hepatocystic triangle,hook,"[""hook"", ""tool withdraw unblocks view"", ""hepatocystic triangle""]",271401a1-821f-46ce-9895-41d4da92c568
The camera zooms out,camera,,The camera zooms out,,1950,1650,C1,The camera zooms out.,,1950,271401a1-821f-46ce-9895-41d4da92c568__C1__avg__c_001650_001950,unsatisfied->satisfied,2,,,1800,,,,,,271401a1-821f-46ce-9895-41d4da92c568
,left,,,not changed,1350,900,C2,The grasper keeps the gallbladder neck retracted lateral.,lateral,1350,271401a1-821f-46ce-9895-41d4da92c568__C2__avg__c_000900_001350,unsatisfied->satisfied,2,keep retracted lateral,lateral,900,,,,,,271401a1-821f-46ce-9895-41d4da92c568
dissect,right,,,,1350,900,C2,"The hook dissects around the cystic duct, on the outside of cystic duct.",,1170,271401a1-821f-46ce-9895-41d4da92c568__C2__avg__c_000900_001350,unsatisfied->satisfied,1,,,900,on the outside of cystic duct,,cystic duct,hook,"[""hook"", ""dissect"", ""cystic duct""]",271401a1-821f-46ce-9895-41d4da92c568
dissect,right,,,,1350,900,C2,"The hook dissects around the hepatocystic triangle, between presumed cystic duct and presumed cystic artery.",,1350,271401a1-821f-46ce-9895-41d4da92c568__C2__avg__c_000900_001350,unsatisfied->satisfied,1,,,1230,between presumed cystic duct and presumed cystic artery,,hepatocystic triangle,hook,"[""hook"", ""dissect"", ""hepatocystic triangle""]",271401a1-821f-46ce-9895-41d4da92c568
The camera repositions,camera,,The camera repositions,,1350,900,C2,The camera repositions.,,1260,271401a1-821f-46ce-9895-41d4da92c568__C2__avg__c_000900_001350,unsatisfied->satisfied,3,,,1110,,,,,,271401a1-821f-46ce-9895-41d4da92c568
,left,,,not changed,1950,1800,C2,The grasper keeps the gallbladder neck retracted lateral.,lateral,1950,271401a1-821f-46ce-9895-41d4da92c568__C2__avg__c_001800_001950,unsatisfied->satisfied,2,keep retracted lateral,lateral,1800,,,,,,271401a1-821f-46ce-9895-41d4da92c568
dissect,right,,,,1950,1800,C2,"The hook dissects around the hepatocystic triangle, between presumed cystic duct and presumed cystic artery.",,1800,271401a1-821f-46ce-9895-41d4da92c568__C2__avg__c_001800_001950,unsatisfied->satisfied,1,,,1800,between presumed cystic duct and presumed cystic artery,,hepatocystic triangle,hook,"[""hook"", ""dissect"", ""hepatocystic triangle""]",271401a1-821f-46ce-9895-41d4da92c568
tool withdraw unblocks view,right,,,,1950,1800,C2,The hook tool withdraw unblocks view the hepatocystic triangle.,,1830,271401a1-821f-46ce-9895-41d4da92c568__C2__avg__c_001800_001950,unsatisfied->satisfied,4,,,1800,,,hepatocystic triangle,hook,"[""hook"", ""tool withdraw unblocks view"", ""hepatocystic triangle""]",271401a1-821f-46ce-9895-41d4da92c568
The camera zooms out,camera,,The camera zooms out,,1950,1800,C2,The camera zooms out.,,1950,271401a1-821f-46ce-9895-41d4da92c568__C2__avg__c_001800_001950,unsatisfied->satisfied,3,,,1800,,,,,,271401a1-821f-46ce-9895-41d4da92c568
,left,,,changed,750,300,C1,The grasper retracts the gallbladder neck from medial to lateral.,lateral,540,27ea28e2-4ac8-45b4-a62d-3c4f22038188__C1__avg__c_000300_000750,unsatisfied->satisfied,2,retract from medial to lateral,medial,510,,,,,,27ea28e2-4ac8-45b4-a62d-3c4f22038188
dissect,right,,,,750,300,C1,"The hook dissects around the hepatocystic triangle, between presumed cystic duct and presumed cystic artery, and near the base of the hepatocystic triangle.",,570,27ea28e2-4ac8-45b4-a62d-3c4f22038188__C1__avg__c_000300_000750,unsatisfied->satisfied,1,,,390,between presumed cystic duct and presumed cystic artery,near the base of the hepatocystic triangle,hepatocystic triangle,hook,"[""hook"", ""dissect"", ""hepatocystic triangle""]",27ea28e2-4ac8-45b4-a62d-3c4f22038188
The camera repositions,camera,,The camera repositions,,750,300,C1,The camera repositions.,,600,27ea28e2-4ac8-45b4-a62d-3c4f22038188__C1__avg__c_000300_000750,unsatisfied->satisfied,3,,,450,,,,,,27ea28e2-4ac8-45b4-a62d-3c4f22038188
The camera zooms out,camera,,The camera zooms out,,750,300,C1,The camera zooms out.,,750,27ea28e2-4ac8-45b4-a62d-3c4f22038188__C1__avg__c_000300_000750,unsatisfied->satisfied,3,,,600,,,,,,27ea28e2-4ac8-45b4-a62d-3c4f22038188
,left,,,changed,750,0,C2,The grasper retracts the gallbladder neck from lateral to medial.,medial,210,27ea28e2-4ac8-45b4-a62d-3c4f22038188__C2__avg__c_000000_000750,unsatisfied->satisfied,2,retract from lateral to medial,lateral,30,,,,,,27ea28e2-4ac8-45b4-a62d-3c4f22038188
,left,,,changed,750,0,C2,The grasper retracts the gallbladder neck from medial to lateral.,lateral,570,27ea28e2-4ac8-45b4-a62d-3c4f22038188__C2__avg__c_000000_000750,unsatisfied->satisfied,3,retract from medial to lateral,medial,510,,,,,,27ea28e2-4ac8-45b4-a62d-3c4f22038188
dissect,right,,,,750,0,C2,"The hook dissects around the hepatocystic triangle, between presumed cystic duct and presumed cystic artery.",,30,27ea28e2-4ac8-45b4-a62d-3c4f22038188__C2__avg__c_000000_000750,unsatisfied->satisfied,1,,,0,between presumed cystic duct and presumed cystic artery,,hepatocystic triangle,hook,"[""hook"", ""dissect"", ""hepatocystic triangle""]",27ea28e2-4ac8-45b4-a62d-3c4f22038188
dissect,right,,,,750,0,C2,The hook dissects around the hepatocystic triangle.,,90,27ea28e2-4ac8-45b4-a62d-3c4f22038188__C2__avg__c_000000_000750,unsatisfied->satisfied,1,,,90,,,hepatocystic triangle,hook,"[""hook"", ""dissect"", ""hepatocystic triangle""]",27ea28e2-4ac8-45b4-a62d-3c4f22038188
dissect,right,,,,750,0,C2,The hook dissects around the hepatocystic triangle.,,570,27ea28e2-4ac8-45b4-a62d-3c4f22038188__C2__avg__c_000000_000750,unsatisfied->satisfied,1,,,240,,,hepatocystic triangle,hook,"[""hook"", ""dissect"", ""hepatocystic triangle""]",27ea28e2-4ac8-45b4-a62d-3c4f22038188
The camera zooms out,camera,,The camera zooms out,,750,0,C2,The camera zooms out.,,750,27ea28e2-4ac8-45b4-a62d-3c4f22038188__C2__avg__c_000000_000750,unsatisfied->satisfied,4,,,600,,,,,,27ea28e2-4ac8-45b4-a62d-3c4f22038188
,left,,,changed,2100,1800,C2,The grasper retracts the gallbladder neck from not retracted to lateral.,lateral,2100,27ea28e2-4ac8-45b4-a62d-3c4f22038188__C2__avg__c_001800_002100,unsatisfied->satisfied,1,retract to lateral,not retracted,1800,,,,,,27ea28e2-4ac8-45b4-a62d-3c4f22038188
,left,,,changed,450,0,C3,The grasper retracts the gallbladder neck from lateral to medial.,medial,270,27ea28e2-4ac8-45b4-a62d-3c4f22038188__C3__avg__c_000000_000450,unsatisfied->satisfied,2,retract from lateral to medial,lateral,30,,,,,,27ea28e2-4ac8-45b4-a62d-3c4f22038188
dissect,right,,,,450,0,C3,"The hook dissects around the hepatocystic triangle, between presumed cystic duct and presumed cystic artery.",,30,27ea28e2-4ac8-45b4-a62d-3c4f22038188__C3__avg__c_000000_000450,unsatisfied->satisfied,1,,,0,between presumed cystic duct and presumed cystic artery,,hepatocystic triangle,hook,"[""hook"", ""dissect"", ""hepatocystic triangle""]",27ea28e2-4ac8-45b4-a62d-3c4f22038188
dissect,right,,,,450,0,C3,The hook dissects around the hepatocystic triangle.,,90,27ea28e2-4ac8-45b4-a62d-3c4f22038188__C3__avg__c_000000_000450,unsatisfied->satisfied,1,,,90,,,hepatocystic triangle,hook,"[""hook"", ""dissect"", ""hepatocystic triangle""]",27ea28e2-4ac8-45b4-a62d-3c4f22038188
dissect,right,,,,450,0,C3,The hook dissects around the hepatocystic triangle.,,450,27ea28e2-4ac8-45b4-a62d-3c4f22038188__C3__avg__c_000000_000450,unsatisfied->satisfied,1,,,240,,,hepatocystic triangle,hook,"[""hook"", ""dissect"", ""hepatocystic triangle""]",27ea28e2-4ac8-45b4-a62d-3c4f22038188
,left,,,changed,900,450,C1,The grasper retracts the gallbladder neck from upward to lateral.,lateral,720,280aaeb3-c03c-4fe5-92ba-1e68ac5c2a45__C1__avg__c_000450_000900,unsatisfied->satisfied,2,retract from upward to lateral,upward,660,,,,,,280aaeb3-c03c-4fe5-92ba-1e68ac5c2a45
dissect,right,,,,900,450,C1,The hook dissects around the hepatocystic triangle.,,660,280aaeb3-c03c-4fe5-92ba-1e68ac5c2a45__C1__avg__c_000450_000900,unsatisfied->satisfied,1,,,450,,,hepatocystic triangle,hook,"[""hook"", ""dissect"", ""hepatocystic triangle""]",280aaeb3-c03c-4fe5-92ba-1e68ac5c2a45
dissect,right,,,,900,450,C1,"The hook dissects around the cystic duct, between presumed cystic duct and presumed cystic artery.",,900,280aaeb3-c03c-4fe5-92ba-1e68ac5c2a45__C1__avg__c_000450_000900,unsatisfied->satisfied,1,,,720,between presumed cystic duct and presumed cystic artery,,cystic duct,hook,"[""hook"", ""dissect"", ""cystic duct""]",280aaeb3-c03c-4fe5-92ba-1e68ac5c2a45
,left,,,changed,900,450,C2,The grasper retracts the gallbladder neck from upward to lateral.,lateral,720,280aaeb3-c03c-4fe5-92ba-1e68ac5c2a45__C2__avg__c_000450_000900,unsatisfied->satisfied,2,retract from upward to lateral,upward,660,,,,,,280aaeb3-c03c-4fe5-92ba-1e68ac5c2a45
dissect,right,,,,900,450,C2,"The hook dissects around the hepatocystic triangle, between presumed cystic duct and presumed cystic artery.",,660,280aaeb3-c03c-4fe5-92ba-1e68ac5c2a45__C2__avg__c_000450_000900,unsatisfied->satisfied,1,,,450,between presumed cystic duct and presumed cystic artery,,hepatocystic triangle,hook,"[""hook"", ""dissect"", ""hepatocystic triangle""]",280aaeb3-c03c-4fe5-92ba-1e68ac5c2a45
dissect,right,,,,900,450,C2,"The hook dissects around the cystic duct, between presumed cystic duct and presumed cystic artery.",,900,280aaeb3-c03c-4fe5-92ba-1e68ac5c2a45__C2__avg__c_000450_000900,unsatisfied->satisfied,1,,,720,between presumed cystic duct and presumed cystic artery,,cystic duct,hook,"[""hook"", ""dissect"", ""cystic duct""]",280aaeb3-c03c-4fe5-92ba-1e68ac5c2a45
